streak_id,team_id,team_name,total_streak_val,streak_game_count,first_game_date,last_game_date
3474,1610612737.0,Atlanta Hawks,-21,3,2003-03-14,2003-03-18
258682,1610612748.0,Miami Heat,-21,2,2005-11-25,2005-11-26
621546,1610612764.0,Washington Wizards,-21,2,2023-04-05,2023-04-07
581613,1610612762.0,Utah Jazz,-21,2,2022-04-08,2022-04-10
562412,1610612761.0,Toronto Raptors,-21,2,2023-01-02,2023-01-04
548400,1610612761.0,Toronto Raptors,-21,2,2009-11-29,2009-12-01
499622,1610612759.0,San Antonio Spurs,-21,3,2005-04-06,2005-04-09
490068,1610612758.0,Sacramento Kings,-21,2,2019-12-04,2019-12-06
481526,1610612758.0,Sacramento Kings,-21,3,2008-11-28,2008-12-02
452036,1610612757.0,Portland Trail Blazers,-21,3,1999-03-16,1999-03-19
416081,1610612755.0,Philadelphia 76ers,-21,1,2014-02-09,2014-02-09
412791,1610612755.0,Philadelphia 76ers,-21,3,2008-12-19,2008-12-23
344891,1610612752.0,New York Knicks,-21,2,2003-11-01,2003-11-03
321609,1610612751.0,New Jersey Nets,-21,2,2003-01-17,2003-01-20
289224,1610612749.0,Milwaukee Bucks,-21,2,2016-01-28,2016-01-29
272676,1610612748.0,Miami Heat,-21,2,2020-12-30,2021-01-01
407807,1610612755.0,Philadelphia 76ers,-21,2,1996-12-14,1996-12-17
240521,1610612747.0,Los Angeles Lakers,-21,3,2012-01-03,2012-01-06
113715,1610612742.0,Dallas Mavericks,-21,2,2007-04-22,2007-04-25
86123,1610612740.0,New Orleans Pelicans,-21,2,2023-01-06,2023-01-07
33220,1610612738.0,Boston Celtics,-21,3,2012-04-26,2012-05-01
44050,1610612738.0,Boston Celtics,-22,2,2021-10-27,2021-10-30
507958,1610612759.0,San Antonio Spurs,-22,2,2014-11-08,2014-11-10
484172,1610612758.0,Sacramento Kings,-22,2,2013-01-07,2013-01-10
532021,1610612760.0,Oklahoma City Thunder,-22,2,2016-12-09,2016-12-11
441402,1610612756.0,Phoenix Suns,-22,2,2015-03-04,2015-03-06
132032,1610612743.0,Denver Nuggets,-22,2,1997-02-18,1997-02-20
89832,1610612741.0,Chicago Bulls,-22,3,2003-02-12,2003-02-15
407887,1610612755.0,Philadelphia 76ers,-22,2,1997-01-15,1997-01-17
606802,1610612764.0,Washington Wizards,-22,3,2006-11-12,2006-11-17
607512,1610612764.0,Washington Wizards,-22,3,2007-10-31,2007-11-03
655982,1610612766.0,Charlotte Hornets,-22,2,2019-02-11,2019-02-14
240461,1610612747.0,Los Angeles Lakers,-22,2,2011-05-02,2011-05-04
417615,1610612755.0,Philadelphia 76ers,-23,2,2015-12-07,2015-12-10
299747,1610612750.0,Minnesota Timberwolves,-23,3,1997-02-18,1997-02-21
256854,1610612748.0,Miami Heat,-23,3,2003-01-06,2003-01-10
656932,1610612766.0,Charlotte Hornets,-23,2,2019-12-22,2019-12-27
535651,1610612760.0,Oklahoma City Thunder,-24,2,2019-12-27,2019-12-29
528597,1610612760.0,Oklahoma City Thunder,-24,2,2013-03-19,2013-03-20
244049,1610612747.0,Los Angeles Lakers,-24,2,2016-01-10,2016-01-12
483250,1610612758.0,Sacramento Kings,-24,2,2011-04-01,2011-04-03
90596,1610612741.0,Chicago Bulls,-24,2,2004-11-06,2004-11-09
483392,1610612758.0,Sacramento Kings,-24,2,2012-01-13,2012-01-14
460364,1610612757.0,Portland Trail Blazers,-24,3,2012-12-08,2012-12-13
129297,1610612742.0,Dallas Mavericks,-24,2,2022-03-07,2022-03-09
204212,1610612745.0,Houston Rockets,-25,1,2021-02-28,2021-02-28
230229,1610612747.0,Los Angeles Lakers,-26,2,1998-01-24,1998-01-28
661248,1610612766.0,Charlotte Hornets,-26,2,2023-04-07,2023-04-09
34784,1610612738.0,Boston Celtics,-27,2,2014-10-29,2014-11-01
401226,1610612754.0,Indiana Pacers,-27,2,2018-01-19,2018-01-21
200030,1610612745.0,Houston Rockets,-27,1,2018-05-28,2018-05-28
141412,1610612743.0,Denver Nuggets,-28,2,2012-12-20,2012-12-22
26882,1610612738.0,Boston Celtics,-28,2,2003-03-18,2003-03-19
