streak_val,streak_count,game_count
-32,1,0
-31,1,0
-30,1,0
-29,3,0
-28,1,0
-27,4,0
-26,2,0
-25,5,0
-24,10,0
-23,11,0
-22,16,0
-21,32,0
-20,28,0
-19,54,0
-18,83,0
-17,98,0
-16,161,0
-15,252,0
-14,451,0
-13,581,0
-12,962,2
-11,1383,18
-10,2190,32
-9,3465,112
-8,5257,390
-7,8069,1115
-6,12608,3410
-5,19771,9400
-4,30874,24528
-3,48807,60174
-2,76799,137044
-1,119597,290318
1,212503,266713
2,75832,74886
3,26679,20799
4,9726,5877
5,3518,1566
6,1287,434
7,451,113
8,178,27
9,66,8
10,21,3
11,7,0
12,1,0
13,3,0
